run_id,field,status,old_value,current_value,delta
A_ample_none_i0,K_MR_mean_s-1,same,0.0,0.0,0
A_ample_none_i0,K_RM_mean_s-1,same,0.0,0.0,0
A_ample_none_i0,completion_time_s,same,3.65,3.65,0
A_ample_none_i0,disturbance,same,none,none,
A_ample_none_i0,failure_type,same,,,
A_ample_none_i0,hard_violation_count,same,0,0,0
A_ample_none_i0,init_variant,same,0,0,0
A_ample_none_i0,max_abs_jerk_mps3,same,2.5,2.5,0
A_ample_none_i0,mean_abs_jerk_mps3,same,0.12217753253934756,0.12217753253934756,0
A_ample_none_i0,merge_start_time_s,same,0.6500000000000001,0.6500000000000001,0
A_ample_none_i0,method,same,A,A,
A_ample_none_i0,min_net_gap_m,same,11.251064264926082,11.251064264926082,0
A_ample_none_i0,outcome,same,completed,completed,
A_ample_none_i0,pair_gain_total_error_max_s-1,same,0.0,0.0,0
A_ample_none_i0,road_violation_count,same,0,0,0
A_ample_none_i0,run_id,same,A_ample_none_i0,A_ample_none_i0,
A_ample_none_i0,safety_correction_abs_mean_mps2,same,3.799955392668559,3.799955392668559,0
A_ample_none_i0,safety_correction_count,same,7,7,0
A_ample_none_i0,scenario,same,ample,ample,
A_ample_none_i0,space_feedback_abs_mean_s-1,same,0.0,0.0,0
A_ample_none_i0,success,same,1,1,0
A_ample_none_i0,task_phase,same,SUCCESS,SUCCESS,
A_ample_none_i0,total_effort_integral_m2_s3,same,5.326624772951129,5.326624772951129,0
A_ample_none_i0,total_speed_deficit_integral_m_s,same,3.727611221697933,3.727611221697933,0
A_ample_none_i1,K_MR_mean_s-1,same,0.0,0.0,0
A_ample_none_i1,K_RM_mean_s-1,same,0.0,0.0,0
A_ample_none_i1,completion_time_s,same,5.05,5.05,0
A_ample_none_i1,disturbance,same,none,none,
A_ample_none_i1,failure_type,same,,,
A_ample_none_i1,hard_violation_count,same,0,0,0
A_ample_none_i1,init_variant,same,1,1,0
A_ample_none_i1,max_abs_jerk_mps3,same,2.500000000000002,2.500000000000002,0
A_ample_none_i1,mean_abs_jerk_mps3,same,0.15671588431525507,0.15671588431525507,0
A_ample_none_i1,merge_start_time_s,same,2.05,2.05,0
A_ample_none_i1,method,same,A,A,
A_ample_none_i1,min_net_gap_m,same,10.601417033255029,10.601417033255029,0
A_ample_none_i1,outcome,same,completed,completed,
A_ample_none_i1,pair_gain_total_error_max_s-1,same,0.0,0.0,0
A_ample_none_i1,road_violation_count,same,0,0,0
A_ample_none_i1,run_id,same,A_ample_none_i1,A_ample_none_i1,
A_ample_none_i1,safety_correction_abs_mean_mps2,same,4.091943781108452,4.091943781108452,0
A_ample_none_i1,safety_correction_count,same,9,9,0
A_ample_none_i1,scenario,same,ample,ample,
A_ample_none_i1,space_feedback_abs_mean_s-1,same,0.0,0.0,0
A_ample_none_i1,success,same,1,1,0
A_ample_none_i1,task_phase,same,SUCCESS,SUCCESS,
A_ample_none_i1,total_effort_integral_m2_s3,same,3.1023960426535795,3.1023960426535795,0
A_ample_none_i1,total_speed_deficit_integral_m_s,same,2.923626372870316,2.923626372870316,0
A_ample_none_i2,K_MR_mean_s-1,same,0.0,0.0,0
A_ample_none_i2,K_RM_mean_s-1,same,0.0,0.0,0
A_ample_none_i2,completion_time_s,same,4.25,4.25,0
A_ample_none_i2,disturbance,same,none,none,
A_ample_none_i2,failure_type,same,,,
A_ample_none_i2,hard_violation_count,same,0,0,0
A_ample_none_i2,init_variant,same,2,2,0
A_ample_none_i2,max_abs_jerk_mps3,same,2.5,2.5,0
A_ample_none_i2,mean_abs_jerk_mps3,same,0.11522782402231964,0.11522782402231964,0
A_ample_none_i2,merge_start_time_s,same,1.2500000000000002,1.2500000000000002,0
A_ample_none_i2,method,same,A,A,
A_ample_none_i2,min_net_gap_m,same,9.773354193167858,9.773354193167858,0
A_ample_none_i2,outcome,same,completed,completed,
A_ample_none_i2,pair_gain_total_error_max_s-1,same,0.0,0.0,0
A_ample_none_i2,road_violation_count,same,0,0,0
A_ample_none_i2,run_id,same,A_ample_none_i2,A_ample_none_i2,
A_ample_none_i2,safety_correction_abs_mean_mps2,same,4.185103705025071,4.185103705025071,0
A_ample_none_i2,safety_correction_count,same,8,8,0
A_ample_none_i2,scenario,same,ample,ample,
A_ample_none_i2,space_feedback_abs_mean_s-1,same,0.0,0.0,0
A_ample_none_i2,success,same,1,1,0
A_ample_none_i2,task_phase,same,SUCCESS,SUCCESS,
A_ample_none_i2,total_effort_integral_m2_s3,same,4.751587824557898,4.751587824557898,0
A_ample_none_i2,total_speed_deficit_integral_m_s,same,3.729689440118043,3.729689440118043,0
A_ample_prepare_i0,K_MR_mean_s-1,same,0.0,0.0,0
A_ample_prepare_i0,K_RM_mean_s-1,same,0.0,0.0,0
A_ample_prepare_i0,completion_time_s,same,3.65,3.65,0
A_ample_prepare_i0,disturbance,same,prepare,prepare,
A_ample_prepare_i0,failure_type,same,,,
A_ample_prepare_i0,hard_violation_count,same,0,0,0
A_ample_prepare_i0,init_variant,same,0,0,0
A_ample_prepare_i0,max_abs_jerk_mps3,same,2.500000000000002,2.500000000000002,0
A_ample_prepare_i0,mean_abs_jerk_mps3,same,0.21823138818016835,0.21823138818016835,0
A_ample_prepare_i0,merge_start_time_s,same,0.6500000000000001,0.6500000000000001,0
A_ample_prepare_i0,method,same,A,A,
A_ample_prepare_i0,min_net_gap_m,same,11.13088765225491,11.13088765225491,0
A_ample_prepare_i0,outcome,same,completed,completed,
A_ample_prepare_i0,pair_gain_total_error_max_s-1,same,0.0,0.0,0
A_ample_prepare_i0,road_violation_count,same,0,0,0
A_ample_prepare_i0,run_id,same,A_ample_prepare_i0,A_ample_prepare_i0,
A_ample_prepare_i0,safety_correction_abs_mean_mps2,same,3.799955392668559,3.799955392668559,0
A_ample_prepare_i0,safety_correction_count,same,7,7,0
A_ample_prepare_i0,scenario,same,ample,ample,
A_ample_prepare_i0,space_feedback_abs_mean_s-1,same,0.0,0.0,0
