run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,safety_correction_count,saturation_count,max_abs_jerk_mps3
P_collaborative_none_i0,P,,collaborative,none,0,M,11.037808500677155,0,0,2.5
P_collaborative_none_i0,P,,collaborative,none,0,R,17.93296524995184,0,0,2.5
P_collaborative_none_i0,P,,collaborative,none,0,F,0.0,0,0,0.0
P_collaborative_none_i0,P,,collaborative,none,0,B,11.648101472640532,0,1,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,M,12.348364943317538,2,0,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,R,18.428924861167,0,0,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,F,1.2972109757490824,0,29,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,B,12.02392125709324,0,1,2.5
P_collaborative_none_i2,P,,collaborative,none,2,M,20.701716311335055,0,0,2.5
P_collaborative_none_i2,P,,collaborative,none,2,R,30.025977967534327,0,0,2.5
P_collaborative_none_i2,P,,collaborative,none,2,F,0.0,0,0,0.0
P_collaborative_none_i2,P,,collaborative,none,2,B,22.55374466132504,0,1,2.5
P_ample_none_i0,P,,ample,none,0,M,2.4337498915840343,0,0,2.500000000000001
P_ample_none_i0,P,,ample,none,0,R,1.013540270975111,0,0,2.5
P_ample_none_i0,P,,ample,none,0,F,0.0,0,3,2.5
P_ample_none_i0,P,,ample,none,0,B,0.0,0,2,2.5
P_ample_prepare_i0,P,,ample,prepare,0,M,3.2766747195125916,0,0,2.5
P_ample_prepare_i0,P,,ample,prepare,0,R,1.671576288655101,0,0,2.5
P_ample_prepare_i0,P,,ample,prepare,0,F,1.1544896481720752,0,32,2.500000000000002
P_ample_prepare_i0,P,,ample,prepare,0,B,0.0,0,2,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,M,27.44445089301902,0,0,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,R,34.49468213387037,0,0,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,F,0.0,0,0,0.0
S1_collaborative_none_i0,S1,,collaborative,none,0,B,27.359542121845223,0,1,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,M,27.448231490030967,0,0,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,R,34.499881276993854,0,0,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,F,1.2972109757490824,0,29,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,B,27.364084988234943,0,1,2.5
S1_collaborative_none_i2,S1,,collaborative,none,2,M,36.41418202865946,0,0,2.5
S1_collaborative_none_i2,S1,,collaborative,none,2,R,46.51703901068858,0,0,2.5
S1_collaborative_none_i2,S1,,collaborative,none,2,F,0.0,0,0,0.0
S1_collaborative_none_i2,S1,,collaborative,none,2,B,38.24224498835633,0,1,2.5
S1_ample_none_i0,S1,,ample,none,0,M,1.012303144103912,0,0,2.5
S1_ample_none_i0,S1,,ample,none,0,R,1.6865487828263663,0,0,2.5
S1_ample_none_i0,S1,,ample,none,0,F,0.0,0,3,2.5
S1_ample_none_i0,S1,,ample,none,0,B,0.0,0,2,2.5
S1_ample_prepare_i0,S1,,ample,prepare,0,M,1.7752843031116685,0,0,2.5
S1_ample_prepare_i0,S1,,ample,prepare,0,R,2.297570530309993,0,0,2.5
S1_ample_prepare_i0,S1,,ample,prepare,0,F,1.1544896481720752,0,32,2.500000000000002
S1_ample_prepare_i0,S1,,ample,prepare,0,B,0.0,0,2,2.5
S2_collaborative_none_i0,S2,,collaborative,none,0,M,9.223481704644614,0,0,2.5
S2_collaborative_none_i0,S2,,collaborative,none,0,R,27.530624124772388,0,0,2.5
S2_collaborative_none_i0,S2,,collaborative,none,0,F,0.0,0,0,0.0
S2_collaborative_none_i0,S2,,collaborative,none,0,B,21.201446203176356,0,1,2.5
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,M,14.193532382064449,0,0,2.5
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,R,28.114628637689183,0,0,2.5
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,F,1.2972109757490824,0,29,2.5
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,B,21.70533001067035,0,1,2.5
S2_collaborative_none_i2,S2,,collaborative,none,2,M,22.91368224440086,0,0,2.5
S2_collaborative_none_i2,S2,,collaborative,none,2,R,40.10967773211059,0,0,2.5
S2_collaborative_none_i2,S2,,collaborative,none,2,F,0.0,0,0,0.0
S2_collaborative_none_i2,S2,,collaborative,none,2,B,32.97804178541732,0,1,2.5
S2_ample_none_i0,S2,,ample,none,0,M,2.926902418198947,0,0,2.5
S2_ample_none_i0,S2,,ample,none,0,R,2.0801920243473386,0,0,2.5
